Country,Parameter link,Dystopia (2.43) + residual,Explained by: Freedom to make life choices,Explained by: Economy,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Perceptions of corruption,Explained by: Social support,Happiness score,Interval,Range,Range,Rank,Whisker-high,Whisker-low
1.     Finland (7.842),TRUE,3.253414631,0.690576613,1.446356297,0.124200456,0.740823805,0.480523974,1.106191516,7.842100143,7.90412569,0.124051094,0.124051094,1,7.90412569,7.780074596
2.     Denmark (7.620),TRUE,2.868296146,0.686160326,1.501548052,0.207614571,0.762862444,0.484992683,1.108007669,7.61950016,7.687427998,0.135855675,0.135855675,2,7.687427998,7.551572323
3.     Switzerland (7.571),TRUE,2.839147568,0.653487921,1.565899372,0.204039961,0.816414833,0.413019061,1.079468608,7.571499825,7.642536163,0.142072678,0.142072678,3,7.642536163,7.500463486
4.     Iceland (7.554),TRUE,2.966944695,0.697701156,1.482189894,0.292526424,0.772318721,0.16993995,1.172279239,7.553899765,7.670271397,0.232743263,0.232743263,4,7.670271397,7.437528133
5.     Netherlands (7.464),TRUE,2.797817707,0.646585345,1.501071572,0.302396566,0.753425419,0.383531123,1.079151034,7.464000225,7.517559052,0.107117653,0.107117653,5,7.517559052,7.410441399
6.     Norway (7.392),TRUE,2.580300808,0.703135014,1.543455243,0.248918548,0.781767547,0.426838964,1.108087897,7.392499924,7.461978912,0.138957977,0.138957977,6,7.461978912,7.323020935
7.     Sweden (7.363),TRUE,2.683093071,0.684901655,1.478426218,0.244219974,0.762871861,0.447608262,1.061588287,7.362699986,7.43267107,0.139942169,0.139942169,7,7.43267107,7.292728901
8.     Luxembourg (7.324)*,TRUE,2.652866364,0.639362514,1.750785589,0.166076779,0.759720683,0.352613539,1.002978325,7.324399948,7.3963027,0.143805504,0.143805504,8,7.3963027,7.252497196
9.     New (Zealand (7.277),TRUE,2.611801147,0.665402591,1.400068283,0.275553882,0.784921288,0.444941849,1.093900442,7.276599884,7.355363846,0.157527924,0.157527924,9,7.355363846,7.197835922
10.  Austria (7.268),TRUE,2.784284592,0.639984071,1.492163777,0.215089977,0.781758428,0.292055875,1.062422514,7.267799854,7.337424278,0.139248848,0.139248848,10,7.337424278,7.19817543
11.  Australia (7.183),TRUE,2.597856522,0.647235394,1.453484535,0.291388631,0.800667107,0.31698212,1.075880408,7.183499813,7.264683723,0.162367821,0.162367821,11,7.264683723,7.102315903
12.  Israel (7.157),TRUE,3.083014011,0.508975208,1.376326799,0.207988352,0.788168788,0.118764959,1.073812723,7.157100201,7.223914623,0.133628845,0.133628845,12,7.223914623,7.090285778
13.  Germany (7.155),TRUE,2.824025631,0.600411832,1.480365992,0.194914445,0.756574392,0.30559656,0.992562175,7.154500008,7.232217789,0.155435562,0.155435562,13,7.232217789,7.076782227
14.  Canada (7.103),TRUE,2.585432053,0.648485303,1.446679115,0.24622412,0.797508538,0.334586829,1.044359565,7.103300095,7.185441494,0.164282799,0.164282799,14,7.185441494,7.021158695
15.  Ireland (7.085),TRUE,2.384304523,0.605506539,1.644479394,0.23832652,0.753421366,0.367448837,1.091831088,7.085299969,7.164330482,0.158061028,0.158061028,15,7.164330482,7.006269455
16.  Costa Rica (7.069)*,TRUE,3.386783838,0.672523916,1.133569956,0.105472691,0.721924484,0.083280601,0.965847313,7.069399834,7.178761959,0.218724251,0.218724251,16,7.178761959,6.960037708
17.  United Kingdom (7.064),TRUE,2.595834732,0.580345631,1.422578454,0.340242416,0.756574154,0.306035548,1.061990499,7.063600063,7.137607574,0.148015022,0.148015022,17,7.137607574,6.989592552
18.  Czech Republic (6.965),TRUE,3.123739243,0.580020785,1.369824648,0.052063614,0.703239262,0.045637153,1.090193272,6.964700222,7.061641693,0.193882942,0.193882942,18,7.061641693,6.867758751
19.  United States (6.951),TRUE,2.807296753,0.553920388,1.532977462,0.25218758,0.621138632,0.153869659,1.030146956,6.951499939,7.047040462,0.191081047,0.191081047,19,7.047040462,6.855959415
20.  Belgium (6.834),TRUE,2.862028599,0.488648325,1.463081956,0.087925293,0.747104645,0.187337667,0.997890294,6.834000111,6.900776386,0.133552551,0.133552551,20,6.900776386,6.767223835
21.  France (6.690),TRUE,2.520777702,0.535543203,1.421442866,0.092393093,0.803807199,0.235062331,1.08083272,6.689899921,6.761763573,0.143727303,0.143727303,21,6.761763573,6.61803627
22.  Bahrain (6.647),TRUE,2.631099701,0.661032259,1.409116387,0.246107787,0.66193217,0.13861464,0.899012089,6.646900177,6.779462814,0.265125275,0.265125275,22,6.779462814,6.51433754
23.  Malta (6.602),TRUE,2.267990589,0.663734078,1.410881519,0.274504036,0.747122705,0.182617188,1.055112958,6.602000237,6.687684536,0.171368599,0.171368599,23,6.687684536,6.516315937
24.  Taiwan Province of China (6.584),TRUE,2.686822176,0.489912957,1.479823947,0.141987056,0.665235937,0.139031589,0.981550694,6.584400177,6.659106731,0.149413109,0.149413109,24,6.659106731,6.509693623
25.  United Arab Emirates (6.561),TRUE,2.422319889,0.670046449,1.554552317,0.236245811,0.593833566,0.22332941,0.860141635,6.560500145,6.637441158,0.153882027,0.153882027,25,6.637441158,6.483559132
26.  Saudi Arabia (6.494),TRUE,2.667757988,0.602958202,1.434932351,0.090490177,0.570848644,0.162835747,0.96413672,6.493999958,6.603749752,0.219499588,0.219499588,26,6.603749752,6.384250164
