Index,Country,Crime Index
1,Venezuela,84.44
2,South Sudan,81.32
3,South Africa,78.43
4,Papua New Guinea,77.58
5,Honduras,76.43
6,Nigeria,74.14
7,Trinidad And Tobago,72.6
8,El Salvador,72.04
9,Brazil,71.23
10,Kenya,69.49
11,Bangladesh,68.56
12,Malaysia,68.55
13,Puerto Rico,65.92
14,Jamaica,65.53
15,Peru,64
16,Guatemala,63.54
17,Argentina,63.28
18,Dominican Republic,63.25
19,Namibia,60.89
20,Tanzania,60.02
21,Zimbabwe,60.02
22,Libya,57.81
23,Mongolia,57.76
24,Algeria,57.58
25,Costa Rica,57.56
26,Pakistan,56.63
27,Bolivia,56.56
28,Egypt,56.53
29,Somalia,55.72
30,Vietnam,55.69
31,Syria,54.73
32,Mauritius,53.69
33,Uruguay,53.06
34,Ecuador,52.95
35,Panama,52.69
36,Iran,52.37
37,Iraq,51.51
38,Mexico,50.8
39,Lebanon,50.56
40,Morocco,50.28
41,Ghana,49.01
42,United States,48.87
43,Ukraine,48.62
44,Colombia,48.51
45,Ireland,48.39
46,Cambodia,48.17
47,Moldova,48.16
48,Albania,48.15
49,Montenegro,47.8
50,Russia,47.31
51,Indonesia,46.97
52,Jordan,46.89
53,India,46.59
54,Sri Lanka,46.26
55,Italy,46.22
56,Kazakhstan,45.88
57,Belgium,45.19
58,Maldives,45.02
59,France,44.06
60,Serbia,43.28
61,Lithuania,43.15
62,United Kingdom,43.13
63,Australia,43.12
64,Sweden,43.12
65,Thailand,42.56
66,Bosnia And Herzegovina,42.46
67,Nepal,42.15
68,Chile,42
69,Hungary,41.93
70,Bulgaria,41.42
71,Turkey,39.43
72,Canada,39.2
73,Tunisia,38.9
74,Greece,38.46
75,North Macedonia,38.02
76,Latvia,37.79
77,Philippines,37.61
78,Bahrain,37.26
79,Brunei,36.96
80,New Zealand,36.37
81,Kuwait,36.04
82,Luxembourg,36.03
83,Portugal,35.13
84,Ethiopia,34.19
85,Slovakia,33.49
86,Germany,32.95
87,Azerbaijan,32.39
88,China,32.08
89,Czech Republic,32.06
90,Spain,31.77
91,Netherlands,31.47
92,Poland,31.41
93,Armenia,31.11
94,Israel,30.63
95,Cyprus,30.19
96,Norway,30.11
97,Iceland,29.89
98,Romania,29.72
99,Croatia,29.51
100,Oman,28.98
101,Finland,28.12
102,Belarus,27.57
103,Malta,26.73
104,Slovenia,26.27
105,Switzerland,25.73
106,Denmark,25.67
107,Saudi Arabia,25.2
108,Estonia,24.67
109,Austria,24.06
110,United Arab Emirates,23.08
111,Qatar,22.34
112,Georgia,22.16
113,Taiwan,21.21
114,Hong Kong,20.85
115,Japan,19.34
116,Singapore,15.81
117,South Korea,14.31
