Region,SubRegion,Country,Country Code,DrugGroup,Drug,Year,KgEquivalent
Africa,East Africa,Kenya,KEN,ATS,Methamphetamine,2019,0.283
Africa,East Africa,Kenya,KEN,ATS,Methamphetamine,2019,1
Africa,East Africa,Kenya,KEN,Cannabis-type,Cannabis plants,2019,13
Africa,East Africa,Kenya,KEN,Cannabis-type,Marijuana (herb),2019,0.744
Africa,East Africa,Kenya,KEN,Cannabis-type,Marijuana (herb),2019,3773
Africa,East Africa,Kenya,KEN,Cocaine-type,Cocaine salts,2019,6
Africa,East Africa,Kenya,KEN,Cocaine-type,Cocaine salts,2019,0.368
Africa,East Africa,Kenya,KEN,Opioids,Heroin,2019,41
Africa,East Africa,Kenya,KEN,Opioids,Heroin,2019,0.991
Africa,East Africa,Kenya,KEN,Opioids,Heroin,2019,0.00975
Africa,East Africa,Kenya,KEN,Opioids,Pharmaceutical opioids,2019,4.08
Africa,East Africa,Kenya,KEN,ATS,Methamphetamine,2018,2.792
Africa,East Africa,Kenya,KEN,Cannabis-type,Cannabis plants,2018,51.7
Africa,East Africa,Kenya,KEN,Cannabis-type,Cannabis plants,2018,45.8
Africa,East Africa,Kenya,KEN,Cannabis-type,Marijuana (herb),2018,4466
Africa,East Africa,Kenya,KEN,Cocaine-type,Cocaine salts,2018,8.95
Africa,East Africa,Kenya,KEN,Opioids,Heroin,2018,120
Africa,East Africa,Kenya,KEN,Cannabis-type,Cannabis plants,2017,466.2
Africa,East Africa,Kenya,KEN,Cannabis-type,Marijuana (herb),2017,8617
Africa,East Africa,Kenya,KEN,Cocaine-type,Cocaine salts,2017,11.78
Africa,East Africa,Kenya,KEN,Opioids,Heroin,2017,112.6
Africa,East Africa,Kenya,KEN,Substances not under international control,Ketamine and phencyclidine-type substances,2017,68.5
Africa,East Africa,Kenya,KEN,Substances not under international control,Ketamine and phencyclidine-type substances,2017,1.33
Africa,East Africa,Kenya,KEN,Substances not under international control,Ketamine and phencyclidine-type substances,2017,447.5
Africa,East Africa,Kenya,KEN,Substances not under international control,Ketamine and phencyclidine-type substances,2017,213.5
Africa,East Africa,Kenya,KEN,ATS,Methamphetamine,2016,8.93
Africa,East Africa,Kenya,KEN,Cannabis-type,Cannabis plants,2016,609.5
Africa,East Africa,Kenya,KEN,Cannabis-type,Hashish (resin),2016,0.042
Africa,East Africa,Kenya,KEN,Cannabis-type,Marijuana (herb),2016,8809
Africa,East Africa,Kenya,KEN,Cocaine-type,Crack,2016,113.05
Africa,East Africa,Kenya,KEN,Opioids,Heroin,2016,11.1
Africa,East Africa,Kenya,KEN,Sedatives and Tranquillizers,Benzodiazepines,2016,0.00172
Africa,East Africa,Kenya,KEN,Cannabis-type,Cannabis plants,2015,940.1
Africa,East Africa,Kenya,KEN,Cannabis-type,Hashish (resin),2015,0
Africa,East Africa,Kenya,KEN,Cannabis-type,Marijuana (herb),2015,4402
Africa,East Africa,Kenya,KEN,Cocaine-type,Cocaine salts,2015,5.091
Africa,East Africa,Kenya,KEN,Opioids,Heroin,2015,39.493
Africa,East Africa,Kenya,KEN,Opioids,Heroin,2015,0
Africa,East Africa,Kenya,KEN,Precursors,Ephedrine,2015,18.2
Africa,East Africa,Kenya,KEN,Sedatives and Tranquillizers,Benzodiazepines,2015,0.00705
Africa,East Africa,Madagascar,MAG,ATS,Methamphetamine,2018,0.542
Africa,East Africa,Madagascar,MAG,Cannabis-type,Cannabis plants,2018,16.3
Africa,East Africa,Madagascar,MAG,Cannabis-type,Hashish (resin),2018,0.1
Africa,East Africa,Madagascar,MAG,Cannabis-type,Marijuana (herb),2018,780.245
Africa,East Africa,Madagascar,MAG,Cocaine-type,Cocaine salts,2018,0.025
Africa,East Africa,Madagascar,MAG,Opioids,Heroin,2018,0.002
Africa,East Africa,Madagascar,MAG,Opioids,Pharmaceutical opioids,2018,0.12
Africa,East Africa,Madagascar,MAG,Cannabis-type,Cannabis oil,2017,5
Africa,East Africa,Madagascar,MAG,Cannabis-type,Cannabis plants,2017,5770.8
Africa,East Africa,Madagascar,MAG,Cannabis-type,Marijuana (herb),2017,10351.916
Africa,East Africa,Madagascar,MAG,Cocaine-type,Cocaine salts,2017,0.074
Africa,East Africa,Madagascar,MAG,Opioids,Heroin,2017,1.005
Africa,East Africa,Madagascar,MAG,Cannabis-type,Marijuana (herb),2016,2.992
Africa,East Africa,Madagascar,MAG,Cocaine-type,Cocaine salts,2016,0.013
Africa,East Africa,Madagascar,MAG,Opioids,Heroin,2016,0.028
Africa,East Africa,Madagascar,MAG,Cannabis-type,Cannabis oil,2015,59.5
Africa,East Africa,Madagascar,MAG,Cannabis-type,Cannabis plants,2015,2129.1
Africa,East Africa,Madagascar,MAG,Cannabis-type,Marijuana (herb),2015,7742.475
Africa,East Africa,Madagascar,MAG,Non-specified,Non-specified,2015,1500
Africa,East Africa,Madagascar,MAG,Opioids,Heroin,2015,1.2847
Africa,East Africa,Mauritius,MAR,ATS,Amphetamine,2018,0.0271
Africa,East Africa,Mauritius,MAR,ATS,Ecstasy-type substances,2018,0.213548
Africa,East Africa,Mauritius,MAR,ATS,Methamphetamine,2018,1.04
Africa,East Africa,Mauritius,MAR,Cannabis-type,Cannabis plants,2018,6190.6
Africa,East Africa,Mauritius,MAR,Cannabis-type,Hashish (resin),2018,9.488512
Africa,East Africa,Mauritius,MAR,Cannabis-type,Marijuana (herb),2018,99.169532
Africa,East Africa,Mauritius,MAR,Cannabis-type,Other types of cannabis,2018,12.839317
Africa,East Africa,Mauritius,MAR,Cocaine-type,Cocaine salts,2018,8.38135
Africa,East Africa,Mauritius,MAR,Opioids,Heroin,2018,131.925642
Africa,East Africa,Mauritius,MAR,Opioids,Pharmaceutical opioids,2018,2.15
Africa,East Africa,Mauritius,MAR,Opioids,Pharmaceutical opioids,2018,0.0309
Africa,East Africa,Mauritius,MAR,Sedatives and Tranquillizers,Non-specified sedatives and tranquillizers,2018,0.039489999
Africa,East Africa,Mauritius,MAR,ATS,Ecstasy-type substances,2016,0.024119
Africa,East Africa,Mauritius,MAR,ATS,Methamphetamine,2016,0.03645
Africa,East Africa,Mauritius,MAR,Cannabis-type,Cannabis plants,2016,7208.6
Africa,East Africa,Mauritius,MAR,Cannabis-type,Hashish (resin),2016,1.079
Africa,East Africa,Mauritius,MAR,Cannabis-type,Marijuana (herb),2016,7.25
Africa,East Africa,Mauritius,MAR,Cocaine-type,Cocaine salts,2016,1.022
Africa,East Africa,Mauritius,MAR,Opioids,Heroin,2016,17.13408
Africa,East Africa,Mauritius,MAR,Opioids,Pharmaceutical opioids,2016,0.67705
Africa,East Africa,Mauritius,MAR,Opioids,Pharmaceutical opioids,2016,0.00035
Africa,East Africa,Mauritius,MAR,Sedatives and Tranquillizers,Non-specified sedatives and tranquillizers,2016,0.062149999
Africa,East Africa,Mauritius,MAR,Substances not under international control,Synthetic cannabinoids (Spice),2016,1.00501
Africa,East Africa,Mauritius,MAR,Cannabis-type,Cannabis plants,2015,7231.2
Africa,East Africa,Mauritius,MAR,Cannabis-type,Hashish (resin),2015,5.40909
Africa,East Africa,Mauritius,MAR,Cannabis-type,Marijuana (herb),2015,42.7955
Africa,East Africa,Mauritius,MAR,Opioids,Heroin,2015,13.06877
Africa,East Africa,Mauritius,MAR,Opioids,Pharmaceutical opioids,2015,0.01955
Africa,East Africa,Mauritius,MAR,Opioids,Pharmaceutical opioids,2015,0.6952
Africa,East Africa,Mauritius,MAR,Sedatives and Tranquillizers,Non-specified sedatives and tranquillizers,2015,0.01084
Africa,East Africa,Mauritius,MAR,Substances not under international control,Synthetic cannabinoids (Spice),2015,0.89781
Africa,East Africa,United Republic of Tanzania,URT,Cannabis-type,Marijuana (herb),2017,52186
Africa,East Africa,United Republic of Tanzania,URT,Cocaine-type,Non-specified cocaine,2017,5.2
Africa,East Africa,United Republic of Tanzania,URT,Opioids,Heroin,2017,196.8
Africa,East Africa,United Republic of Tanzania,URT,Substances not under international control,Plant-based NPS,2017,10000
Africa,East Africa,United Republic of Tanzania,URT,Cannabis-type,Marijuana (herb),2016,68230
Africa,East Africa,United Republic of Tanzania,URT,Cocaine-type,Non-specified cocaine,2016,18.52
Africa,East Africa,United Republic of Tanzania,URT,Opioids,Heroin,2016,42.26
Africa,East Africa,United Republic of Tanzania,URT,Substances not under international control,Plant-based NPS,2016,20000
Africa,East Africa,United Republic of Tanzania,URT,Cocaine-type,Cocaine salts,2015,86.202
Africa,East Africa,United Republic of Tanzania,URT,Opioids,Heroin,2015,50.2
Africa,North Africa,Algeria,ALG,Cannabis-type,Cannabis plants,2019,157.6
Africa,North Africa,Algeria,ALG,Cannabis-type,Cannabis seed,2019,897.372
Africa,North Africa,Algeria,ALG,Cannabis-type,Hashish (resin),2019,55133.42
Africa,North Africa,Algeria,ALG,Cannabis-type,Marijuana (herb),2019,8081
Africa,North Africa,Algeria,ALG,Cocaine-type,Cocaine salts,2019,315.759404
Africa,North Africa,Algeria,ALG,Non-specified,Psychotropic substances,2019,20.85922953
Africa,North Africa,Algeria,ALG,Non-specified,Psychotropic substances,2019,
Africa,North Africa,Algeria,ALG,Non-specified,Psychotropic substances,2019,0.0084
Africa,North Africa,Algeria,ALG,Opioids,Heroin,2019,304.105
Africa,North Africa,Algeria,ALG,Opioids,Other illicit opioids,2019,0.043
Africa,North Africa,Algeria,ALG,Opioids,Poppy plants,2019,88.4
Africa,North Africa,Algeria,ALG,ATS,Non-specified ATS,2018,451.96075
Africa,North Africa,Algeria,ALG,Cannabis-type,Cannabis plants,2018,115.9
Africa,North Africa,Algeria,ALG,Cannabis-type,Cannabis seed,2018,2.42429
Africa,North Africa,Algeria,ALG,Cannabis-type,Hashish (resin),2018,31936.386
Africa,North Africa,Algeria,ALG,Cannabis-type,Marijuana (herb),2018,1.146
Africa,North Africa,Algeria,ALG,Cocaine-type,Cocaine salts,2018,671.887093
Africa,North Africa,Algeria,ALG,Cocaine-type,Crack,2018,0.0003
Africa,North Africa,Algeria,ALG,Opioids,Heroin,2018,4.32422
Africa,North Africa,Algeria,ALG,Opioids,Opium,2018,0.37124
Africa,North Africa,Algeria,ALG,Opioids,Poppy plants,2018,3.1
Africa,North Africa,Algeria,ALG,ATS,Ecstasy-type substances,2017,66.919656
Africa,North Africa,Algeria,ALG,ATS,Non-specified ATS,2017,300.448
Africa,North Africa,Algeria,ALG,Cannabis-type,Cannabis plants,2017,370.7
Africa,North Africa,Algeria,ALG,Cannabis-type,Cannabis seed,2017,1.1135
Africa,North Africa,Algeria,ALG,Cannabis-type,Hashish (resin),2017,52609.907
Africa,North Africa,Algeria,ALG,Cannabis-type,Marijuana (herb),2017,28.841
Africa,North Africa,Algeria,ALG,Cocaine-type,Cocaine salts,2017,6.279407
Africa,North Africa,Algeria,ALG,Cocaine-type,Crack,2017,0.6312
Africa,North Africa,Algeria,ALG,Opioids,Heroin,2017,2.120965
Africa,North Africa,Algeria,ALG,ATS,Non-specified ATS,2016,0.008
Africa,North Africa,Algeria,ALG,ATS,Non-specified ATS,2016,0
Africa,North Africa,Algeria,ALG,ATS,Non-specified ATS,2016,268.0985
Africa,North Africa,Algeria,ALG,Cannabis-type,Cannabis plants,2016,50.7
Africa,North Africa,Algeria,ALG,Cannabis-type,Cannabis seed,2016,0.6425
Africa,North Africa,Algeria,ALG,Cannabis-type,Hashish (resin),2016,109089.13
Africa,North Africa,Algeria,ALG,Cocaine-type,Cocaine salts,2016,59.09941
Africa,North Africa,Algeria,ALG,Cocaine-type,Crack,2016,0.023
Africa,North Africa,Algeria,ALG,Opioids,Heroin,2016,1.403823
Africa,North Africa,Algeria,ALG,Opioids,Opium,2016,0.55438
Africa,North Africa,Algeria,ALG,Opioids,Poppy plants,2016,106
Africa,North Africa,Algeria,ALG,ATS,Non-specified ATS,2015,159.49025
Africa,North Africa,Algeria,ALG,Cannabis-type,Cannabis plants,2015,57.2
Africa,North Africa,Algeria,ALG,Cannabis-type,Cannabis seed,2015,0.309
Africa,North Africa,Algeria,ALG,Cannabis-type,Hashish (resin),2015,126685.774
Africa,North Africa,Algeria,ALG,Cocaine-type,Cocaine salts,2015,88.287395
Africa,North Africa,Algeria,ALG,Cocaine-type,Crack,2015,0.0483
Africa,North Africa,Algeria,ALG,Opioids,Heroin,2015,2.573754
Africa,North Africa,Algeria,ALG,Opioids,Opium,2015,0.014
Africa,North Africa,Egypt,EGY,ATS,Amphetamine,2019,8729.14125
Africa,North Africa,Egypt,EGY,ATS,Amphetamine,2019,0.031
Africa,North Africa,Egypt,EGY,ATS,Ecstasy-type substances,2019,7.182313
Africa,North Africa,Egypt,EGY,ATS,Ecstasy-type substances,2019,0.355
Africa,North Africa,Egypt,EGY,ATS,Methamphetamine,2019,0.47
Africa,North Africa,Egypt,EGY,ATS,Methamphetamine,2019,263
Africa,North Africa,Egypt,EGY,Cannabis-type,Cannabis plants,2019,101.2
Africa,North Africa,Egypt,EGY,Cannabis-type,Cannabis plants,2019,0
Africa,North Africa,Egypt,EGY,Cannabis-type,Cannabis seed,2019,2830
Africa,North Africa,Egypt,EGY,Cannabis-type,Hashish (resin),2019,35928
Africa,North Africa,Egypt,EGY,Cannabis-type,Marijuana (herb),2019,62097
Africa,North Africa,Egypt,EGY,Cocaine-type,Cocaine salts,2019,25
Africa,North Africa,Egypt,EGY,Hallucinogens,LSD,2019,2.58E-05
Africa,North Africa,Egypt,EGY,Opioids,Heroin,2019,3194
Africa,North Africa,Egypt,EGY,Opioids,Opium,2019,188
Africa,North Africa,Egypt,EGY,Opioids,Pharmaceutical opioids,2019,596.4717589
Africa,North Africa,Egypt,EGY,Opioids,Poppy plants,2019,0
Africa,North Africa,Egypt,EGY,Sedatives and Tranquillizers,Other sedatives and tranquillizers,2019,0.033949999
Africa,North Africa,Egypt,EGY,Substances not under international control,Synthetic cannabinoids (Spice),2019,171
Africa,North Africa,Egypt,EGY,Substances not under international control,Synthetic cannabinoids (Spice),2019,657
Africa,North Africa,Egypt,EGY,ATS,Amphetamine,2017,1667.8115
Africa,North Africa,Egypt,EGY,ATS,Ecstasy-type substances,2017,1.076954
Africa,North Africa,Egypt,EGY,ATS,Ecstasy-type substances,2017,1
Africa,North Africa,Egypt,EGY,ATS,Methamphetamine,2017,0.148
Africa,North Africa,Egypt,EGY,Cannabis-type,Cannabis plants,2017,0
